"_id__$oid","last_updated__$date","|","|__odour","|__time","|__ph","|__total_alkalinity","|__mlss","|__do","|__percent_settlement","|__svi","|__cod","|__tss","|__ammonia","|__phosphate","|__sulphide","|__bod","|__dosing_mode","|__flow","|__applied_dose","|__fecl3_concentration_percent","|__fecl3_consumption","|__fecl3_concentration_ppm","|__dose_rate","|__$date","|__$oid","is_deleted","custom_dosing_data__dosing_mode","custom_dosing_data__flow","custom_dosing_data__applied_dose","custom_dosing_data__fecl3_concentration_percent","custom_dosing_data__fecl3_consumption","custom_dosing_data__fecl3_concentration_ppm","custom_dosing_data__dose_rate","raw_sewage__odour","raw_sewage__time","raw_sewage__ph","raw_sewage__cod","raw_sewage__tss","raw_sewage__ammonia","raw_sewage__phosphate","raw_sewage__sulphide","raw_sewage__bod","inlet_channel__odour","inlet_channel__time","inlet_channel__ph","inlet_channel__cod","inlet_channel__tss","inlet_channel__ammonia","inlet_channel__phosphate","inlet_channel__sulphide","inlet_channel__bod","inlet__odour","inlet__time","inlet__ph","inlet__cod","inlet__tss","inlet__ammonia","inlet__phosphate","inlet__sulphide","inlet__bod","pst_inlet__odour","pst_inlet__time","pst_inlet__ph","pst_inlet__cod","pst_inlet__tss","pst_inlet__ammonia","pst_inlet__phosphate","pst_inlet__sulphide","pst_inlet__bod","pst_outlet__odour","pst_outlet__time","pst_outlet__ph","pst_outlet__cod","pst_outlet__tss","pst_outlet__ammonia","pst_outlet__phosphate","pst_outlet__sulphide","pst_outlet__bod","at__odour","at__time","at__ph","at__mlss","at__do","at__percent_settlement","at__svi","fst__odour","fst__time","fst__ph","fst__cod","fst__tss","fst__ammonia","fst__phosphate","fst__sulphide","fst__do","remarks","date","user_id","odour_id","analysis_id","createdAt__$date","updatedAt__$date","__v","bod_date_time","updated_by"
"","","pst_inlet","mildodour","","7.4","","","","","","298","270","33","3.3","2.2","145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","mildodour","","7.4","","","","","","240","210","26","3.2","2","110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","mildodour","","7.5","","2010","0.48","5","24.875621890547265","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","mildodour","","7.6","","","1.12","","","184","66","24","2.6","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-08-12T09:07:11.748Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-08-12T09:08:17.041Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","_id","","","","","","","","","","","","","","","","","","","","","","","6116486af4c4e80012386c59","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-08-13","60f145d12287270012a59b6a","","2m966ltrft","","","0","2021-08-10T15:55","null"
"","","last_updated","","","","","","","","","","","","","","","","","","","","","","2021-08-11T08:10:08.9Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","custom_dosing_data","","","","","","","","","","","","","","","automatic","2.453125","2","10","0.00490625","100000","0.0490625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","raw_sewage","offensive","","7.2","","","","","","560","360","48","5","5.8","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet_channel","odourless","","7.2","","","","","","480","296","42","4.4","0.6","172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet","odourless","","7.3","","","","","","480","292","38","3.6","0.4","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_inlet","mildodour","","7.4","","","","","","540","322","40","3.8","2.4","174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","mildodour","","7.4","","","","","","490","282","32","3.2","2","135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","mildodour","","7.5","","730","0.42","3","41.0958904109589","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","mildodour","","7.5","","","0.84","","","230","74","22","2.4","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-08-13T10:24:42.15Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-08-13T10:26:30.246Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6119ea1506a13e0013d1aa10","2021-08-13T20:59:01.929Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.46875","2","10","0.0049375","100000","0.049375","offensive","","7.2","220","384","46","5.2","5.2","233","odourless","","7.2","438","362","42","4.8","0.8","198","odourless","","7.3","398","328","36","4.2","0.4","190","mildodour","","7.4","390","348","38","4.6","2","210","mildodour","","7.4","410","298","30","3","1.6","155","mildodour","","7.5","840","0.64","3","35.714285714285715","mildodour","","7.6","362","76","24","2.6","1.2","0.82","","2021-08-14","60f145d12287270012a59b6a","","0hfod7dza0","2021-08-16T04:31:17.879Z","2021-08-16T04:34:42Z","0","2021-08-11T10:03","null"
"6119ec8e06a13e0013d1aa5a","2021-08-13T20:59:01.929Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.390625","2","10","0.00478125","100000","0.0478125","offensive","","7.2","482","390","43","0.8","5.6","212","odourless","","7.1","424","374","36","4.4","0.6","180","odourless","","7.1","410","360","34","4","0.4","150","mildodour","","7.3","440","382","38","4.2","1.6","200","mildodour","","7.4","348","240","32","3.2","1.2","140","mildodour","","7.4","920","0.32","5","54.34782608695652","mildodour","","7.5","220","72","20","2.4","1.2","0.72","","2021-08-15","60f145d12287270012a59b6a","","fsgjwu5h45","2021-08-16T04:41:50.654Z","2021-08-16T04:42:46.786Z","0","2021-08-12T10:12","null"
"611a404506a13e0013d1b1df","2021-08-13T20:59:01.929Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.46875","2","10","0.0049375","100000","0.049375","offensive","","7.2","384","248","42","5.8","4.4","182","odourless","","7.2","350","230","32","5.5","0.6","138","odourless","","7.3","362","228","31","5","0.4","140","mildodour","","7.4","370","256","35","4.8","1.8","185","mildodour","","7.5","290","232","32","3.7","1.4","160","mildodour","","7.5","1280","0.27","6","46.875","mildodour","","7.6","260","158","38","3.5","2.6","0.32","From 15.08.21 5.30 pm to 16.08.21 10.30 am dosing was closed due to shortage of water for making fecl3 solution.","2021-08-16","60f145d12287270012a59b6a","","em7gvd3d9d","2021-08-16T10:39:01.145Z","2021-08-16T10:47:29.621Z","0","2021-08-13T16:09","null"
"611b94a461ccce001512774a","2021-08-17T07:52:33.817Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.515625","2","10","0.00503125","100000","0.0503125","offensive","","7.2","370","298","39","5.5","4.8","187","odourless","","7.2","340","276","38","5.2","0.8","176","odourless","","7.3","360","250","34","5","0.4","165","mildodour","","7.3","390","282","40","4.4","1.6","167","mildodour","","7.4","260","262","34","3.5","1.2","134","mildodour","","7.5","1050","0.16","5","47.61904761904761","mildodour","","7.5","230","118","25","3","1.2","0.32","","2021-08-17","60f145d12287270012a59b6a","","unf123sx67","2021-08-17T10:51:16.55Z","2021-08-17T10:55:39.543Z","0","2021-08-14T15:23","null"
"611e36fa06d30500129c72df","2021-08-18T10:17:12.166Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.4375","2","10","0.004875000000000001","100000","0.04875","offensive","","7.2","490","542","45","5.3","4.4","196","odourless","","7.3","360","432","39","4","0.6","180","odourless","","7.4","390","418","35","3.8","0.4","172","mildodour","","7.4","380","392","32","3.8","1.6","190","mildodour","","7.4","320","304","39","2.8","1.2","146","mildodour","","7.5","1530","0.29","5","32.67973856209151","mildodour","","7.6","260","95","26","2.2","0.8","0.44","","2021-08-18","60f145d12287270012a59b6a","","vlmcx8pc9u","2021-08-19T10:48:27.018Z","2021-08-19T10:49:28.464Z","0","2021-08-15T16:19","null"
